@Paeruginosa|NC_008463|6537648
@Strain	Refseq_Accession	Replicon	Locus_Tag	Feature_Type	Start	Stop	Strand	Gene_Name
Paeruginosa	NC_008463	Chromosome	PA14_01130	gene	110972	111205	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01140	gene	111195	112514	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01150	gene	112593	113027	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01160	gene	113281	115506	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01170	gene	115534	115983	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01180	gene	115913	117112	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01190	gene	117109	118146	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01200	gene	118146	119237	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01220	gene	119248	120168	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01230	gene	120178	121410	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01240	gene	121786	122514	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01250	gene	122725	124296	+	ychM
Paeruginosa	NC_008463	Chromosome	PA14_01270	gene	124433	125029	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01290	gene	125293	126417	+	coxB
Paeruginosa	NC_008463	Chromosome	PA14_01300	gene	126427	128019	+	coxA
Paeruginosa	NC_008463	Chromosome	PA14_01310	gene	128030	128584	+	coxG
Paeruginosa	NC_008463	Chromosome	PA14_01320	gene	128595	129482	+	coIII
Paeruginosa	NC_008463	Chromosome	PA14_01330	gene	129498	129707	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01340	gene	129723	130517	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01350	gene	130492	131070	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01360	gene	131135	132208	+	ctaA
Paeruginosa	NC_008463	Chromosome	PA14_01380	gene	132234	133148	+	ctaB
Paeruginosa	NC_008463	Chromosome	PA14_01390	gene	133174	133809	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01400	gene	133849	134301	-	elaA
Paeruginosa	NC_008463	Chromosome	PA14_01410	gene	134433	134906	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01430	gene	135162	135890	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01440	gene	135915	136502	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01460	gene	136732	138081	+	dctA
Paeruginosa	NC_008463	Chromosome	PA14_01470	gene	138130	138816	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01480	gene	138917	139651	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01490	gene	139831	140241	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01500	gene	140273	141181	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01510	gene	141481	141762	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01520	gene	141759	141986	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01540	gene	142162	142785	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01550	gene	142886	143386	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01560	gene	143458	143799	+	phnA
Paeruginosa	NC_008463	Chromosome	PA14_01580	gene	143881	145308	-	gabP
Paeruginosa	NC_008463	Chromosome	PA14_01600	gene	145477	146970	-	mmsA
Paeruginosa	NC_008463	Chromosome	PA14_01610	gene	147054	147341	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01620	gene	147341	148687	-	aptA
Paeruginosa	NC_008463	Chromosome	PA14_01640	gene	148823	149740	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01660	gene	149853	151223	-	guaD
Paeruginosa	NC_008463	Chromosome	PA14_01670	gene	152381	153952	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01680	gene	153952	155049	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01690	gene	155072	156052	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01710	gene	156164	156727	+	ahpC
Paeruginosa	NC_008463	Chromosome	PA14_01720	gene	156872	158437	+	ahpF
Paeruginosa	NC_008463	Chromosome	PA14_01730	gene	158517	159413	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01750	gene	159868	161217	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01760	gene	161387	162376	+	nuh
Paeruginosa	NC_008463	Chromosome	PA14_01770	gene	162413	163261	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01780	gene	163296	163922	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01790	gene	164072	164590	-	.
Paeruginosa	NC_008463	Chromosome	PA14_01800	gene	164828	165925	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01810	gene	165998	166960	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01830	gene	167065	168015	+	add
Paeruginosa	NC_008463	Chromosome	PA14_01840	gene	168212	168757	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01860	gene	168754	169749	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01870	gene	169897	172284	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01890	gene	172662	173489	+	pcaQ
Paeruginosa	NC_008463	Chromosome	PA14_01900	gene	173624	174343	+	pcaH
Paeruginosa	NC_008463	Chromosome	PA14_01910	gene	174354	174959	+	pcaG
Paeruginosa	NC_008463	Chromosome	PA14_01930	gene	175175	176014	+	pcaR
Paeruginosa	NC_008463	Chromosome	PA14_01940	gene	176167	177318	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01960	gene	177315	178385	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01970	gene	178382	181429	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01980	gene	181628	182566	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01990	gene	182682	182867	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02010	gene	183147	183299	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02020	gene	183454	184788	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02030	gene	184817	185614	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02050	gene	185692	187308	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02060	gene	187980	188816	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02070	gene	189058	190464	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02090	gene	190557	191222	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02100	gene	191228	191818	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02110	gene	191825	192532	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02130	gene	192659	193039	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02140	gene	193066	193608	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02150	gene	193617	195608	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02180	gene	195871	196920	-	cheB
Paeruginosa	NC_008463	Chromosome	PA14_02190	gene	196940	197542	-	cheD
Paeruginosa	NC_008463	Chromosome	PA14_02200	gene	197548	198390	-	cheR
Paeruginosa	NC_008463	Chromosome	PA14_02220	gene	198460	200499	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02230	gene	200535	201020	-	cheW
Paeruginosa	NC_008463	Chromosome	PA14_02250	gene	201007	202926	-	cheA
Paeruginosa	NC_008463	Chromosome	PA14_02260	gene	202954	203319	-	cheY
Paeruginosa	NC_008463	Chromosome	PA14_02270	gene	203517	204689	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02290	gene	204880	205815	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02300	gene	205932	206684	+	fabG
Paeruginosa	NC_008463	Chromosome	PA14_02310	gene	206784	208394	-	atsA
Paeruginosa	NC_008463	Chromosome	PA14_02330	gene	208482	209321	-	atsC
Paeruginosa	NC_008463	Chromosome	PA14_02340	gene	209318	210934	-	atsB
Paeruginosa	NC_008463	Chromosome	PA14_02360	gene	211201	212262	+	atsR
Paeruginosa	NC_008463	Chromosome	PA14_02370	gene	212285	213643	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02380	gene	213891	214616	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02390	gene	214640	215557	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02410	gene	215908	218280	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02420	gene	218321	219223	+	atsK
Paeruginosa	NC_008463	Chromosome	PA14_02435	gene	219291	220190	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02450	gene	220837	221955	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02460	gene	222031	222339	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02470	gene	222339	223775	+	pntB
Paeruginosa	NC_008463	Chromosome	PA14_02490	gene	224119	224931	+	tonB2
Paeruginosa	NC_008463	Chromosome	PA14_02500	gene	224960	225679	+	exbB1
Paeruginosa	NC_008463	Chromosome	PA14_02510	gene	225681	226082	+	exbD1
Paeruginosa	NC_008463	Chromosome	PA14_02520	gene	226263	226475	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02530	gene	226691	227272	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02550	gene	227383	229047	+	mdcA
Paeruginosa	NC_008463	Chromosome	PA14_02560	gene	229047	229928	+	mdcB
Paeruginosa	NC_008463	Chromosome	PA14_02570	gene	229930	230229	+	mdcC
Paeruginosa	NC_008463	Chromosome	PA14_02580	gene	230222	231085	+	mdcD
Paeruginosa	NC_008463	Chromosome	PA14_02590	gene	231082	231888	+	mdcE
Paeruginosa	NC_008463	Chromosome	PA14_02610	gene	231904	232596	+	mdcG
Paeruginosa	NC_008463	Chromosome	PA14_02620	gene	232593	233525	+	mdcH
Paeruginosa	NC_008463	Chromosome	PA14_02630	gene	233582	233986	+	mdcL
Paeruginosa	NC_008463	Chromosome	PA14_02640	gene	233992	234756	+	mcdM
Paeruginosa	NC_008463	Chromosome	PA14_02650	gene	234841	235770	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02660	gene	236099	237019	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02680	gene	237370	238860	+	aldH
Paeruginosa	NC_008463	Chromosome	PA14_02690	gene	238918	240351	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02700	gene	240382	241764	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02720	gene	241928	242986	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02730	gene	243064	243945	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02740	gene	244005	244787	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02750	gene	244942	245481	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02760	gene	245632	246483	+	catI
Paeruginosa	NC_008463	Chromosome	PA14_02770	gene	246480	247262	+	pcaJ
Paeruginosa	NC_008463	Chromosome	PA14_02790	gene	247259	248464	+	pcaF
Paeruginosa	NC_008463	Chromosome	PA14_02810	gene	248614	249912	+	pcaT
Paeruginosa	NC_008463	Chromosome	PA14_02830	gene	249935	251314	+	pcaB
Paeruginosa	NC_008463	Chromosome	PA14_02840	gene	251329	252120	+	pcaD
Paeruginosa	NC_008463	Chromosome	PA14_02850	gene	252131	252532	+	pcaC
Paeruginosa	NC_008463	Chromosome	PA14_02870	gene	252660	253601	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02890	gene	253792	254625	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02900	gene	254764	256110	-	pcaK
Paeruginosa	NC_008463	Chromosome	PA14_02910	gene	256416	257195	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02930	gene	257439	258482	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02960	gene	258505	259320	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02970	gene	259470	260348	+	.
Paeruginosa	NC_008463	Chromosome	PA14_02980	gene	260374	261639	-	.
Paeruginosa	NC_008463	Chromosome	PA14_02990	gene	261705	263030	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03000	gene	263577	265481	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03010	gene	265574	266242	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03020	gene	266282	267136	-	aroE
Paeruginosa	NC_008463	Chromosome	PA14_03030	gene	267133	267579	-	aroQ2
Paeruginosa	NC_008463	Chromosome	PA14_03040	gene	267696	269201	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03050	gene	269376	270560	-	pobA
Paeruginosa	NC_008463	Chromosome	PA14_03070	gene	270738	271604	+	pobR
Paeruginosa	NC_008463	Chromosome	PA14_03080	gene	271601	272047	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03090	gene	272125	272559	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03100	gene	272724	273365	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03110	gene	273633	273920	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03120	gene	274012	274488	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03130	gene	274529	276019	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03150	gene	276153	276839	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03160	gene	277003	277935	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03163	gene	278510	279133	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03166	gene	279133	279531	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03170	gene	279718	280557	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03180	gene	280590	280853	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03190	gene	280973	282415	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03200	gene	282565	284715	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03210	gene	284712	285209	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03220	gene	285213	288272	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03240	gene	288454	288972	-	hcpC
Paeruginosa	NC_008463	Chromosome	PA0263.1	gene	290228	290259	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03250	gene	291568	293184	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03265	gene	293187	293936	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03270	gene	294101	297238	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03285	gene	297222	298367	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03290	gene	298567	298875	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03300	gene	298872	299717	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03310	gene	300333	301931	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03320	gene	302683	303804	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03330	gene	303810	304676	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03340	gene	304673	305599	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03350	gene	305950	306903	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03360	gene	306896	307666	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03370	gene	307985	308983	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03380	gene	309749	311728	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03390	gene	311665	312174	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03400	gene	312167	312499	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03410	gene	312961	313034	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03420	gene	313222	313638	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03430	gene	313663	315114	+	gabD
Paeruginosa	NC_008463	Chromosome	PA14_03450	gene	315359	316639	+	gabT
Paeruginosa	NC_008463	Chromosome	PA14_03470	gene	316965	318164	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03480	gene	318332	319753	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03490	gene	319880	320317	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03510	gene	320329	320736	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03520	gene	320770	321054	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03530	gene	321051	321983	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03550	gene	322033	323247	-	cynX
Paeruginosa	NC_008463	Chromosome	PA14_03560	gene	323410	324180	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03580	gene	324289	324975	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03590	gene	325051	325566	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03610	gene	325606	326364	-	ycaL
Paeruginosa	NC_008463	Chromosome	PA14_03620	gene	326536	327288	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03630	gene	327382	328080	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03650	gene	328093	329082	-	cysA
Paeruginosa	NC_008463	Chromosome	PA14_03670	gene	329086	329955	-	cysW
Paeruginosa	NC_008463	Chromosome	PA14_03680	gene	329966	330784	-	cysT
Paeruginosa	NC_008463	Chromosome	PA14_03700	gene	330946	331944	-	sbp
Paeruginosa	NC_008463	Chromosome	PA14_03710	gene	332121	332303	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03720	gene	332467	334749	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03730	gene	334920	336098	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03760	gene	336327	337712	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03770	gene	337768	338724	+	speB1
Paeruginosa	NC_008463	Chromosome	PA14_03780	gene	338777	339739	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03790	gene	339852	340823	+	.
Paeruginosa	NC_008463	Chromosome	PA14_03800	gene	341437	342828	+	oprE
Paeruginosa	NC_008463	Chromosome	PA14_03810	gene	342926	344032	-	aguA
Paeruginosa	NC_008463	Chromosome	PA14_03830	gene	344118	344996	-	aguB
Paeruginosa	NC_008463	Chromosome	PA14_03840	gene	345159	345824	-	aguR
Paeruginosa	NC_008463	Chromosome	PA14_03855	gene	345887	346948	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03860	gene	347204	348580	-	.
Paeruginosa	NC_008463	Chromosome	PA0296-PA0297	gene	348675	348854	-	.
Paeruginosa	NC_008463	Chromosome	PA14_03870	gene	348859	349611	+	spuA
Paeruginosa	NC_008463	Chromosome	PA14_03880	gene	349652	351010	+	spuB
Paeruginosa	NC_008463	Chromosome	PA14_03900	gene	351076	352446	+	spuC
Paeruginosa	NC_008463	Chromosome	PA14_03920	gene	352562	353665	+	spuD
Paeruginosa	NC_008463	Chromosome	PA14_03930	gene	354084	355181	+	spuE
Paeruginosa	NC_008463	Chromosome	PA14_03940	gene	355236	356390	+	spuF
Paeruginosa	NC_008463	Chromosome	PA14_03950	gene	356417	357298	+	spuG
Paeruginosa	NC_008463	Chromosome	PA14_03960	gene	357381	358250	+	spuH
Paeruginosa	NC_008463	Chromosome	PA14_03980	gene	358448	360835	-	.
Paeruginosa	NC_008463	Chromosome	PA14_04000	gene	360946	361998	+	.
Paeruginosa	NC_008463	Chromosome	PA14_04010	gene	361977	362480	-	.
Paeruginosa	NC_008463	Chromosome	PA14_04030	gene	363195	364214	+	.
Paeruginosa	NC_008463	Chromosome	PA14_04020	gene	362585	363196	-	.
Paeruginosa	NC_008463	Chromosome	PA14_04040	gene	364234	364986	-	.
Paeruginosa	NC_008463	Chromosome	PA14_04050	gene	365035	365733	+	.
Paeruginosa	NC_008463	Chromosome	PA14_04060	gene	365755	366309	-	.
Paeruginosa	NC_008463	Chromosome	PA14_04070	gene	366575	367069	+	.
Paeruginosa	NC_008463	Chromosome	PA14_04080	gene	367074	367766	-	yecS
Paeruginosa	NC_008463	Chromosome	PA14_04090	gene	367838	368608	-	fliY
Paeruginosa	NC_008463	Chromosome	PA14_04100	gene	368901	369338	+	.
Paeruginosa	NC_008463	Chromosome	PA14_04110	gene	369396	370625	-	serA
Paeruginosa	NC_008463	Chromosome	PA14_04140	gene	370829	372223	+	.
Paeruginosa	NC_008463	Chromosome	PA14_04150	gene	372315	372980	+	ycgM
Paeruginosa	NC_008463	Chromosome	PA14_04160	gene	373079	374068	+	.
Paeruginosa	NC_008463	Chromosome	PA14_04180	gene	374152	374502	+	.
Paeruginosa	NC_008463	Chromosome	PA14_04190	gene	374583	375617	-	aphA
Paeruginosa	NC_008463	Chromosome	PA14_04210	gene	375633	377027	-	.
